PLOTNO,SPPNO,RAINTRT,DISPERSION,BLOCK,SUBBLOCK,AsteraceaeCNT,FabaceaeCNT,PoaceaeCNT,SPPNO18,PropAST,PropFAB,PropPOA,DISPERSION.FOURLEVELS,PAIR,BLANK,SnglGrs
157,2,50,UNDER,WEST,D,0,0,2,2,1,0,0,POA,D17,0,POA.1
158,6,50,UNDER,WEST,D,0,6,0,6,0,0,1,FAB,D18,0,POA.0
159,3,50,OVER,WEST,D,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,D19,0,POA.0
160,1,50,UNDER,WEST,D,0,0,1,1,1,0,0,POA,D20,0,POA.1
161,1,50,UNDER,WEST,E,0,1,0,1,0,0,1,FAB,E1,0,POA.0
162,1,50,UNDER,WEST,E,0,1,0,2,0,0,1,FAB,E2,0,POA.0
163,3,50,OVER,WEST,E,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,E3,0,POA.0
164,5,50,OVER,WEST,E,2,2,1,6,0.2,0.4,0.4,OVER,E4,0,POA.0
165,3,50,UNDER,WEST,E,3,0,0,3,0,1,0,AST,E5,0,POA.0
166,3,50,UNDER,WEST,E,0,0,3,3,1,0,0,POA,E6,0,POA.1
167,1,50,UNDER,WEST,E,1,0,0,1,0,1,0,AST,E7,0,POA.0
168,1,50,UNDER,WEST,E,1,0,0,1,0,1,0,AST,E8,0,POA.0
169,2,50,OVER,WEST,E,1,0,1,2,0.5,0.5,0,OVER,E9,0,POA.0
170,6,50,UNDER,WEST,E,6,0,0,6,0,1,0,AST,E10,0,POA.0
171,3,50,OVER,WEST,E,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,E11,0,POA.0
172,2,50,OVER,WEST,E,1,1,0,2,0,0.5,0.5,OVER,E12,0,POA.0
173,2,50,UNDER,WEST,E,2,0,0,2,0,1,0,AST,E13,0,POA.0
174,0,50,UNDER,WEST,E,0,0,0,1,0,0,0,POA,E14,1,POA.1
175,1,50,UNDER,WEST,E,0,1,0,1,0,0,1,FAB,E15,0,POA.0
176,2,50,UNDER,WEST,E,0,2,0,2,0,0,1,FAB,E16,0,POA.0
177,1,50,UNDER,WEST,E,0,0,1,1,1,0,0,POA,E17,0,POA.1
178,5,50,UNDER,WEST,E,0,0,5,6,1,0,0,POA,E18,0,POA.1
179,2,50,UNDER,WEST,E,0,0,2,2,1,0,0,POA,E19,0,POA.1
180,6,50,OVER,WEST,E,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,E20,0,POA.0
181,1,150,UNDER,WEST,E,0,1,0,1,0,0,1,FAB,E1,0,POA.0
