Plot,Richness,Rain,Subblock,CommComp,Ast10,Fab10,Poa10,TwoSpp,TwoSppFab,n.k,k,A,k2.5,k97.5,a2.5,a97.5,PropPanvir.Rlzd,Cover,PhyloDistPv,Percent.C,Percent.N,CN,CNdiff,Cdiff,Ndiff,ShannonsH.Bacteria,ShannonsH.FungSapr,Richness.Bacteria,Richness.FungSapr,AvgDistBact,AvgDistFung,CE,PropPanvir.Pntd
44,3,150,B,OVER,A1,F1,P1,NA,NA,5,0.002854185,2.5292729,0.001755762,0.004032049,2.264365936,2.799200675,0,0.733333333,0.279311169,36.05,1.28,28.1640625,-18.11071926,-6.223571429,0.361428571,6.237433233,2.6499767,911,69,36.66414838,22.11356139,14.82399527,0
45,1,150,B,AST,A1,F0,P0,NA,NA,5,0.001654412,2.466937296,0.001028185,0.002299358,2.304639934,2.631223189,0,0.735714286,0.3058,40.93,0.93,44.01075269,-2.264029068,-1.343571429,0.011428571,5.931329115,2.732741382,691,87,37.87788235,24.49329642,2.343185987,0
46,6,150,B,OVER,A1,F1,P1,NA,NA,5,0.003001733,2.578275401,0.00167076,0.00445278,2.253173668,2.910709343,0,0.607,0.284405867,40.3,1.13,35.66371681,-10.61106494,-1.973571429,0.211428571,6.205984626,2.079897891,824,61,37.72755177,24.22590234,4.468272162,0
47,1,150,B,POA,A0,F0,P1,NA,NA,5,0.002331722,2.470752441,0.000951565,0.003826022,2.13348811,2.816401873,0,0.161666667,0.0274,34.09,0.98,34.78571429,-11.48906747,-8.183571429,0.061428571,6.353487824,3.528036169,1033,71,37.44626968,23.69342973,-3.10785129,0
48,6,150,B,AST,A1,F0,P0,NA,NA,5,0.002441439,2.556756912,0.001896196,0.003003894,2.420046176,2.694782377,0,0.782,0.29696668,38.19,1.05,36.37142857,-9.903353185,-4.083571429,0.131428571,6.026511034,3.381948884,748,72,37.69975269,24.15896978,8.01350157,0
49,2,150,B,OVER,A1,F0,P1,AP,F0,4,0.002083554,2.494527616,0.001578672,0.002604829,2.362106037,2.627647304,0.942524014,0.693333333,0.016576074,40.43,0.96,42.11458333,-4.160198423,-1.843571429,0.041428571,6.172060923,3.154190423,859,85,2.09604829,1.320396584,0.054091316,0.5
50,1,150,B,AST,A1,F0,P0,NA,NA,5,0.002495401,2.549508934,-0.000227388,0.005723169,1.855416876,3.280095112,0,0.405833333,0.2869,38.95,0.9,43.27777778,-2.997003978,-3.323571429,-0.018571429,6.196477634,3.528909678,794,88,37.68613988,23.8884279,-0.960858347,0
51,2,150,B,AST,A1,F0,P0,AA,F0,5,0.002230407,2.505349227,0.001217379,0.003302284,2.251127364,2.764319407,0,0.110166667,0.286754163,39.1,1.17,33.41880342,-12.85597834,-3.173571429,0.251428571,6.259252825,3.786465376,916,73,36.72434979,23.67791006,0.805567068,0
52,3,150,B,OVER,A1,F1,P1,NA,NA,5,0.002925714,2.518052971,0.002197882,0.003688176,2.346425694,2.691773453,0,0.390833333,0.136033086,41.03,0.93,44.11827957,-2.156502186,-1.243571429,0.011428571,6.138594986,1.660724519,789,67,36.97170089,23.90517438,10.13475974,0
53,2,150,B,POA,A0,F0,P1,PP,F0,5,0.002755027,2.523037229,0.002359191,0.00316054,2.428724372,2.617976358,0,0.1701,0.027400841,39.4,1.2,32.83333333,-13.44144842,-2.873571429,0.281428571,5.998432302,3.870776068,769,93,37.44622403,23.69341434,1.765340037,0
54,1,150,B,FAB,A0,F1,P0,NA,NA,5,0.00291913,2.507791086,0.002729348,0.003111177,2.463673556,2.552045689,0,0.270166667,0.2774,39.03,1.19,32.79831933,-13.47646243,-3.243571429,0.271428571,6.088406592,3.587790131,737,64,37.94361302,22.45950985,1.806507438,0
55,3,150,B,AST,A1,F0,P0,NA,NA,5,0.002163298,2.515427615,0.001003194,0.003399748,2.220033797,2.817258846,0,0.543333333,0.286873763,37.71,0.98,38.47959184,-7.795189919,-4.563571429,0.061428571,6.329742285,3.779401396,970,91,37.66943623,23.9021317,3.145727,0
56,1,150,B,FAB,A0,F1,P0,NA,NA,5,0.002439521,2.506997982,0.001627792,0.003290292,2.306626782,2.710287149,0,0.316666667,0.2837,33.21,1.16,28.62931034,-17.64547141,-9.063571429,0.241428571,6.090974709,1.679370804,727,61,38.34133264,22.81530039,-2.26389294,0
57,6,150,B,POA,A0,F0,P1,NA,NA,5,0.002451959,2.482553674,0.00140397,0.003566523,2.228679084,2.741128217,0.720881911,0.823333333,0.009324634,38.17,1.03,37.05825243,-9.216529329,-4.103571429,0.111428571,5.963799722,3.673902235,663,70,10.2009655,6.627748959,7.842313531,0.166666667
58,2,150,B,FAB,A0,F1,P0,FF,F1,5,0.00319961,2.531663355,0.002831113,0.003577161,2.447091037,2.616732335,0,0.808333333,0.340519427,39.88,1.44,27.69444444,-18.58033731,-2.393571429,0.521428571,5.811087849,3.401511782,541,103,38.91588848,22.12413309,6.146418928,0
59,3,150,B,POA,A0,F0,P1,NA,NA,5,0.003163414,2.470687199,0.002328302,0.004046637,2.282691267,2.661221422,0,0.411666667,0.034333678,34.47,1.1,31.33636364,-14.93841812,-7.803571429,0.181428571,6.064858674,3.5301679,759,65,36.96610686,23.39753011,3.328298793,0
60,6,150,B,OVER,A1,F1,P1,NA,NA,5,0.003014878,2.499299501,0.002317191,0.003744965,2.338050601,2.66240424,0,0.856666667,0.245380672,35.7,0.99,36.06060606,-10.2141757,-6.573571429,0.071428571,5.988926805,3.699755342,675,92,37.35779469,24.18446474,3.722183163,0
61,1,50,B,POA,A0,F0,P1,NA,NA,5,0.001637236,2.482408811,0.00054071,0.002792053,2.193930801,2.77723408,0,0.58,0.0313,35.2,0.96,36.66666667,-9.608115089,-7.073571429,0.041428571,5.69837508,2.865723361,497,56,36.20755931,23.79832757,0.470895102,0
62,2,50,B,OVER,A1,F1,P0,AF,F1,5,0.002474993,2.477105871,0.000917814,0.004185862,2.100447181,2.864272652,0,0.59025,0.297764855,41.05,1.07,38.36448598,-7.910295775,-1.223571429,0.151428571,6.220915272,4.091687157,869,98,36.60624162,21.9692371,6.551007165,0
63,2,50,B,OVER,A0,F1,P1,FP,F1,5,0.001914626,2.471751545,0.000415854,0.003535851,2.089335393,2.865365224,0,0.336716667,0.283695331,38.01,1.06,35.85849057,-10.41629119,-4.263571429,0.141428571,6.151177267,3.109046699,836,74,33.63454532,21.60686025,-0.057183322,0
64,3,50,B,OVER,A1,F1,P1,NA,NA,5,0.002477081,2.45447464,0.000540014,0.004660171,1.988248141,2.937290269,0,0.575033333,0.291383088,40.65,1.17,34.74358974,-11.53119201,-1.623571429,0.251428571,5.979445993,3.865477737,685,85,36.6166027,21.99586484,4.084019491,0
