PLOTNO,BMTOTPLOT.g,deltaY,CE,SE,YEAR
55,1392.077616,847.5191344,305.2175581,542.3015764,2022
56,329.4003827,12.01749388,12.01749388,7.11E-15,2022
57,933.5306154,634.800707,687.8312412,-53.03053414,2022
58,653.7950367,242.2787038,149.5247969,92.75390691,2022
59,209.3074297,109.745575,207.7534539,-98.00787896,2022
60,846.0418398,557.5657743,201.3262786,356.2394957,2022
61,313.7773501,-37.25237272,-37.25237272,7.11E-15,2022
62,949.7355931,342.6959503,182.5762773,160.119673,2022
63,161.6330088,21.22167761,21.22167761,-1.07E-14,2022
64,829.3413289,317.6575042,76.5227561,241.1347481,2022
65,544.3244475,-163.1792244,-163.1792244,0,2022
66,759.5591521,468.6985645,220.7639952,247.9345694,2022
67,337.0513615,34.51820786,34.51820786,-1.42E-14,2022
68,1244.690289,891.9475612,343.354319,548.5932422,2022
69,240.6549838,-176.4652456,-214.9765893,38.51134375,2022
70,1013.327848,25.37148386,25.37148386,-8.17E-14,2022
71,156.9279476,77.83992077,141.4418122,-63.60189146,2022
72,167.8114292,67.23911842,83.38411797,-16.14499956,2022
73,292.6675881,-9.86556554,-9.86556554,-1.78E-15,2022
74,107.3727566,29.07199908,29.07199908,-3.55E-15,2022
75,1192.742841,755.305702,166.9930102,588.3126919,2022
76,349.3150393,-21.98415473,-21.98415473,0,2022
77,670.9775797,345.7469174,253.4803154,92.266602,2022
78,667.5711814,265.3193868,224.7966884,40.52269835,2022
79,201.4911783,24.05572412,84.98344683,-60.92772271,2022
80,980.8079054,715.2645013,359.9066828,355.3578185,2022
81,380.7348073,155.0498077,87.84772732,67.20208039,2022
82,733.3945956,442.3265827,146.0583374,296.2682453,2022
83,433.2043952,0,0,0,2022
84,213.9181569,99.03155244,92.80756548,6.223986959,2022
85,886.0105216,185.3195934,148.909581,36.41001243,2022
86,431.4894622,-115.4340123,0.198464724,-115.632477,2022
87,658.0482547,332.8175923,271.0175266,61.80006576,2022
88,935.2203444,535.7568922,291.8892058,243.8676864,2022
89,200.5950681,69.15650188,52.33408595,16.82241592,2022
90,783.2759562,356.6648343,-76.3133496,432.9781839,2022
92,360.9492441,123.9841455,121.8623208,2.121824754,2022
93,164.0553403,-7.341703134,-7.341703134,3.55E-15,2022
94,1029.083003,458.7289698,340.0954502,118.6335196,2022
95,171.0284558,18.07044712,18.07044712,-7.11E-15,2022
96,963.2579125,393.5468952,30.69988884,362.8470064,2022
97,1058.290919,686.9718557,71.42276953,615.5490862,2022
98,93.87903218,23.42086607,23.42086607,0,2022
99,164.5433901,45.73548997,29.25477592,16.48071405,2022
100,1069.328783,8.207505709,8.207505709,1.01E-13,2022
101,445.2948733,259.121183,234.4396024,24.68158061,2022
102,781.5830206,517.0512411,201.9354093,315.1158318,2022
103,532.2224282,26.5726513,26.5726513,1.42E-14,2022
104,126.0986674,64.41935371,109.1689911,-44.74963735,2022
105,865.2929617,10.05544039,-45.15299971,55.2084401,2022
106,617.6085098,20.12652105,31.50596157,-11.37944053,2022
107,668.0729271,369.3430188,300.7114296,68.63158917,2022
108,916.3332454,392.2609305,110.3102925,281.950638,2022
109,125.8539421,16.6182346,13.18139794,3.436836662,2022
110,968.3715888,609.7450691,82.748153,526.9969161,2022
112,225.1946007,101.1208169,87.92974216,13.19107474,2022
113,96.65404269,23.83341182,23.83341182,-3.55E-15,2022
114,1056.505145,342.8549396,228.9735318,113.8814078,2022
115,122.3802317,6.246929911,6.246929911,1.07E-14,2022
116,961.8129882,468.9446196,104.5621231,364.3824965,2022
117,1142.639894,806.0440726,216.6648112,589.3792614,2022
118,50.29966365,7.491461069,7.491461069,-8.88E-16,2022
119,64.63226319,-28.11908843,-31.5088768,3.38978837,2022
120,954.616452,73.83199323,73.83199323,0,2022
121,792.8362714,345.3573081,107.4547971,237.902511,2022
122,88.48685673,-1.6559653,-1.6559653,6.66E-16,2022
123,305.3653949,-12.01749388,-12.01749388,7.11E-15,2022
124,383.9111742,164.8883785,109.5599949,55.32838366,2022
125,228.2999957,139.1096743,300.1976697,-161.0879954,2022
126,132.9418656,6.447870512,6.447870512,1.78E-15,2022
127,2017.50572,1511.908443,459.6220633,1052.28638,2022
128,438.7636361,169.9764,129.269623,40.70677702,2022
129,461.460531,152.1322163,67.71532424,84.41689207,2022
130,48.98721904,-23.83341182,-23.83341182,3.55E-15,2022
131,110.6972607,43.2411501,78.65453543,-35.41338534,2022
132,141.2851325,-53.81662733,-84.69366491,30.87703758,2022
133,179.7281088,113.2525965,113.9724857,-0.719889172,2022
134,947.7822356,449.3233554,169.9092047,279.4141507,2022
135,78.09447827,13.32062775,122.5281327,-109.2075049,2022
136,952.0421203,148.4339567,148.4339567,0,2022
137,351.7704482,115.8173289,4.503522385,111.3138065,2022
138,1134.076925,797.4811039,166.0209981,631.4601058,2022
139,1620.982814,836.5554967,256.4793442,580.0761524,2022
140,56.14415351,-24.40627134,-24.40627134,3.55E-15,2022
141,1086.66935,733.926622,190.0215674,543.9050546,2022
142,129.1035706,-11.30776064,-11.30776064,5.33E-15,2022
143,393.2833488,21.98415473,21.98415473,-2.49E-14,2022
144,471.8470392,214.4087304,131.927254,82.48147638,2022
145,263.3085976,109.4329983,-13.83825678,123.271255,2022
146,60.68210344,-30.74112898,-30.74112898,0,2022
147,1197.317728,775.4891307,252.14492,523.3442108,2022
148,427.4094141,176.9744962,128.0071085,48.96738762,2022
149,269.558408,-24.70970754,-94.77778201,70.06807447,2022
150,178.7387466,7.341703134,7.341703134,-3.55E-15,2022
151,159.9162841,70.57017707,28.99613837,41.5740387,2022
152,404.364526,133.0164073,202.1000086,-69.08360137,2022
153,130.83669,25.40194131,24.38293747,1.019003834,2022
154,701.8486673,94.80902445,-85.21267293,180.0216974,2022
155,82.90722756,34.5865888,99.66406261,-65.0774738,2022
156,981.7223271,238.9051008,238.9051008,2.84E-14,2022
157,325.737874,70.56549118,-2.091797836,72.65728901,2022
158,847.8574737,476.5384106,4.781142703,471.7572679,2022
159,996.431286,393.4065035,189.1792373,204.2272661,2022
160,138.6122436,-20.70279917,-20.70279917,-3.55E-15,2022
161,433.2043952,0,0,0,2022
162,79.61947302,-63.95795047,-63.95795047,0,2022
163,217.8015181,87.41831601,106.1220074,-18.70369141,2022
164,1044.939197,558.6465874,205.415041,353.2315464,2022
165,928.4773914,312.3380432,82.44086226,229.897181,2022
166,290.2521182,19.29281181,-18.05059215,37.34340397,2022
167,9.521387011,4.303341925,4.303341925,0,2022
168,870.6828964,163.1792244,163.1792244,-2.84E-14,2022
169,153.2889707,-2.847554993,-3.961429484,1.113874491,2022
170,788.7860938,436.0433662,94.62313156,341.4202347,2022
171,739.9631624,339.2595563,133.3078456,205.9517107,2022
172,164.2144273,79.35243231,82.07131457,-2.718882258,2022
173,782.8293303,212.372144,-45.33493348,257.7070774,2022
175,183.7533249,40.17590143,40.17590143,-7.11E-15,2022
176,1118.196924,371.0340883,178.5443246,192.4897637,2022
177,47.03730003,-23.42086607,-23.42086607,0,2022
178,567.349818,242.1191557,102.1633965,139.9557592,2022
179,257.1341701,70.63851018,19.90799439,50.73051579,2022
180,1145.851107,764.6571994,376.0966927,388.5605067,2022
181,479.0771256,-26.5726513,-26.5726513,-1.42E-14,2022
182,91.16179545,-29.5009071,-29.5009071,-3.55E-15,2022
183,124.0349394,24.97252537,21.15450417,3.818021202,2022
184,1024.91949,553.5686178,167.4060426,386.1625751,2022
185,1360.920525,533.418709,88.36991594,445.0487931,2022
186,309.8913969,94.14700509,56.41541684,37.73158825,2022
187,4.717315184,1.663609217,1.663609217,2.22E-16,2022
188,943.20191,21.55127524,21.55127524,3.55E-15,2022
189,87.54939665,-10.79246668,-0.131141999,-10.66132468,2022
190,1063.225437,615.7464736,121.7936176,493.952856,2022
191,764.8341,286.9443829,31.01171432,255.9326686,2022
192,234.7472264,119.0240897,120.0943594,-1.070269722,2022
193,1138.01289,357.5854831,-22.34847963,379.9339627,2022
195,137.4140208,16.75131823,16.75131823,1.07E-14,2022
196,1162.244483,469.0273647,367.4292832,101.5980815,2022
197,35.31674151,-7.491461069,-7.491461069,8.88E-16,2022
198,725.5155644,426.7856561,191.1281736,235.6574825,2022
199,222.9096406,113.8420709,65.98259425,47.85947661,2022
200,1412.083039,948.815975,514.3731542,434.4428208,2022
201,1216.317858,-228.4036532,-228.4036532,5.68E-14,2022
202,1077.049383,731.2894359,163.4636671,567.8257688,2022
203,277.8805113,102.5535745,102.5535745,1.42E-14,2022
204,124.1159769,26.56842669,26.37088396,0.197542725,2022
205,858.263564,201.7603397,47.85710534,153.9032343,2022
206,388.2820955,-3.073718423,-3.073718423,7.99E-15,2022
207,749.0479145,325.8397314,849.9285909,-524.0888595,2022
208,109.8863719,-6.246929911,-6.246929911,8.88E-16,2022
209,664.7770222,366.0471138,472.0839078,-106.036794,2022
210,131.0807835,26.12850517,26.12850517,3.55E-15,2022
211,838.0637592,340.8281264,-22.19874214,363.0268685,2022
